Topic ID;Simulation PTKBs;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9;;;;;;;;;;;;;;;;;;;;;;;;;;;
1_1;"You enjoy apple, kiwi, and watermelon.; You eat dinner late at night.; You have gained weight recently because you stopped exercising for the last 6 months.; You are a software engineer.; You eat out regularly.; You don’t like Apple products.; You spent last summer in Brazil and since then love fresh mangoes and pomegranates.; You enjoy Stephen King’s novels.; You like local pizzeria.; You like a variety of fruits.; You changed jobs 2 years ago.; You are an Android fan, especially the foldables.; You enjoy 3d printing for fun.; You want to stop doom scrolling.; You are a social person.; You are thinking of changing your phone soon.; You want to increase your protein intake.; You are concerned about your CO2 emission.; You spend too much time on your phone.; You are thinking of internet detoxing.; You want to change your lifestyle. ";What  food is good for stomach acid reflux and some that I should avoid?;What are some fruits good for acid reflux?;What are some good habits to help someone with stomach acid reflux?;Why does acid reflux happen? Does acid reflux have a reason?;Are there any ODC medications for stomach acid reflux?;How do medication for stomach acid reflux work?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2_1;"You don’t eat sugar; You want to lose weight; You are 45 years old; You live in Canada; You are a Software Developer; You occasionally experience mild acid reflux and prefer beverages that are gentle on the stomach; You start your day by drinking coffee; You prepare fresh orange juice for your family; You like to try something new here and then; Your grandfather used to have a winery in Great Britain; You can sleep well if you drink a glass of wine in the evening; You love skiing; You once built an old wall clock from scratch; You can play clawhammer banjo; You were born in Great Britain; You regularly visit your family in Scotland; You get grumpy if you don’t get your coffee; You don’t like the taste of tea; You own a cooking machine; Dark chocolate is the exception to your rule.
";How to make a good coffee?;What are the different types of coffee beans?;Can you compare the caffeine content and shape of Excelsa and Liberica coffee beans?;Which one of Liberica and Excelsa is better for me?;What is the impact of roasting on coffee taste?;What is the impact of brewing on coffee taste?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6_1;"You are a 40-year-old woman.;You are considering learning to play the ukulele.;You apply Hyaluronic Acid two times a day after washing your face.;You don’t sleep as well as you used to, and it shows on your face.;You enjoy gardening and growing your own herbs. You follow several beauty influencers on social media.;You frequently use heat styling tools to keep your hair looking good.;You have a collection of vintage records.;You have visible pores on your cheeks and nose.;You like to switch up your routine every few months.;You spend a lot of time in front of screens during the day.;You use AHA BHA serum once a week.;You use vitamin C and Retinol every day in your morning routine.;You usually wear makeup to even out your complexion.;You volunteer at an animal shelter on weekends.;You are allergic to nuts, so you have to be careful about ingredients.;You are learning to speak French.;You are thinking about getting a new haircut soon.;You are interested in treatments that improve your skin with minimal downtime.;You have noticed dark spots and uneven tone on your face. ";How can I improve my skin's appearance except serums?;Are CO2 lasers and microneedling good for me?;How does CO2 laser treatment work?;What is the difference between fractional and blative treatments?;What are the side effects of CO2 laser, microneedling, chemical peeling, and microdermabrasion?;Is Mephzotheraphy better than micro-needling?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6_2;"You are a 40-year-old woman.;You are considering learning to play the ukulele.;You apply Hyaluronic Acid two times a day after washing your face.;You don’t sleep as well as you used to, and it shows on your face.;You enjoy gardening and growing your own herbs. You follow several beauty influencers on social media.;You frequently use heat styling tools to keep your hair looking good.;You have a collection of vintage records.;You have visible pores on your cheeks and nose.;You like to switch up your routine every few months.;You spend a lot of time in front of screens during the day.;You use AHA BHA serum once a week.;You use vitamin C and Retinol every day in your morning routine.;You usually wear makeup to even out your complexion.;You volunteer at an animal shelter on weekends.;You are allergic to nuts, so you have to be careful about ingredients.;You are learning to speak French.;You are thinking about getting a new haircut soon.;You are interested in treatments that improve your skin with minimal downtime.;You have noticed dark spots and uneven tone on your face.; You are tired of your skin’s appearance, and don’t want to wear makeup anymore.; You use La Roche-Posay products for my skin and hair.;You have an oily scalp and hair.;You  have a face wash with salicylic acid in your routine. ";What is a good shampoo for my hair?;What ingredients in the shampoo i should look out for?;What shampoos exist for an oily scalp and hair?;Tell me more about OUAI and Head and Shoulders brands for shampoo for oily scalp and hair. ;What does Head and Shoulders, OUAI and La Roche-Posay shampoos cost?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3_1;"You are a 54 year old man.; You have been climbing regularly for the past 3 years.; You are left-handed.; You climb outdoors.; You enjoy visiting art museums.; You have recently moved to a new flat with a small garden.; You have two children.; You like to listen to jazz music.; You live in London, but your family is from Manchester.; You prefer warm weather for all your outdoor activities.; You used to live in Edinburgh but moved to London last year.; You usually listen to podcasts when you are home alone.; You work at a desk job.; You have been considering getting a standing desk.; Many years ago you had a bad fall while bouldering.; Your brother lives in Canada.; You biked a lot when you were younger.; You enjoy deep conversations.; You travelled to Paris last Easter.";How can I distinguish different finger injuries?;I have pain in the front of the finger, especially when crimping, but I cannot see any bowstring. What injury could this be?;How can I cure the pain in the front of my finger considering I hurt myself while climbing?;What are the risk if I continue climbing and don’t rest with my injury at the front of my finger?;What is some advice for when I start again climbing considering that I had a finger injury?;How should I tape my fingers after my climbing injury at the front of my finger?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3_2;"You are a 54 year old man.; You have been climbing regularly for the past 3 years.; You are left-handed.; You climb outdoors.; You enjoy visiting art museums.; You have recently moved to a new flat with a small garden.; You have two children.; You like to listen to jazz music.; You live in London, but your family is from Manchester.; You prefer warm weather for all your outdoor activities.; You used to live in Edinburgh but moved to London last year.; You usually listen to podcasts when you are home alone.; You work at a desk job.; You have been considering getting a standing desk.; Many years ago you had a bad fall while bouldering.; Your brother lives in Canada.; You biked a lot when you were younger.; You enjoy deep conversations.; You travelled to Paris last Easter.; You got a medium A2 pulley injury while climbing.; You don't like taking supplements.; You want to take it slow on your injured finger.";What are some ways to help someone that is feeling blue for a while?;Can you help me figure out some options for sports to start while my finger heals?;Is it true that cold water is not good for recovery, and I thus should not do swimming while recovering from my finger injury?;Do you know of any water spot near London to do swimming?;What budget should I consider for swimming in a swimming pool near London?;What budget should I consider for yoga?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4_1;"You are 22 years old; You are not very confident in my fitness level; You live in Spain; You are often very disappointed with Nike product; Your favorite kind of animal is the elephant; Your grandpa worked as a shoemaker; You often have a runny nose in summer; You like to have a nap during lunchtime; You enjoy going out a lot; You are a collector of rare books; You are really bad at cooking; Your house is super tidy; You are a primary school teacher for history; You love browsing flea markets on Sunday mornings; You write book reviews on a private blog no one reads; You prefer using cash over cards for small purchases; You are allergic to peanuts; You learnt how to solve Rubik Cude recently; You prefer fish over meat; You prefer quiet museums to crowded festivals.";How can I prepare to run?;What does a typical week of workout look like when preparing for a 10 km run?;Can you give me some information about running shoes?;How can I adjust my workout plan for a 5km run?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4_2;"You are 22 years old; You are not very confident in my fitness level; You live in Spain; You are often very disappointed with Nike product; Your favorite kind of animal is the elephant; Your grandpa worked as a shoemaker; You often have a runny nose in summer; You like to have a nap during lunchtime; You enjoy going out a lot; You are a collector of rare books; You are really bad at cooking; Your house is super tidy; You are a primary school teacher for history; You love browsing flea markets on Sunday mornings; You write book reviews on a private blog no one reads; You prefer using cash over cards for small purchases; You are allergic to peanuts; You learnt how to solve Rubik Cude recently; You prefer fish over meat; You prefer quiet museums to crowded festivals.";How to prepare for a trip to New York?;Can you give me some information about the Metropolitan Mueseum of Art and other ones in New York City?;What is so special about New York's subway system?;What are some places to visit in New York City that are closer to the Spanish culture?;Can you recommend some places in New York City where I can train for my 10km race?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9_1;"You take your bike in the train and the bus.; You are a casual bike rider.; You are not really handy with DIY.; You like biking even in rainy weather and in the forest.; You like pasta.; You enjoy Mediterranean food.; You are on a Mediterranean diet.; You like photography.; You listen to audiobooks in your free time.; You care about sustainability and avoiding waste.; You value comfort over speed.; You recently moved to a city with more hills and rough paths.; You prefer upgrading things over replacing them.; You sometimes get overwhelmed by too many technical choices.; Your brother is in a wheelchair.; You like roller coasters parks.; You usually try to avoid taking planes.; You have a small garage that you use as workshop space at home.; You start your day with a big cup of coffee.  ";What are the most important parts to inspect and upgrade first on a second-hand bike?;What types of saddles are recommended for a mountain bike used primarily on forest trails and rough bike paths?;Considering my history of back pain, are there any important features to consider regarding bicycle seats? ;Could you tell me about handlebars?;What are the key things to look for on mountain bike pedals?;Are clipless pedals worth considering on a mountain bike?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9_2;"You take your bike in the train and the bus.; You are a casual bike rider.; You are not really handy with DIY.; You like biking even in rainy weather and in the forest.; You like pasta.; You enjoy Mediterranean food.; You are on a Mediterranean diet.; You like photography.; You listen to audiobooks in your free time.; You care about sustainability and avoiding waste.; You value comfort over speed.; You recently moved to a city with more hills and rough paths.; You prefer upgrading things over replacing them.; You sometimes get overwhelmed by too many technical choices.; Your brother is in a wheelchair.; You like roller coasters parks.; You usually try to avoid taking planes.; You have a small garage that you use as workshop space at home.; You start your day with a big cup of coffee.; You have a mountain bike.; You used to have back pain while riding your bike.";Why does my bike chain keep derailing?;Could the chain itself be the cause of my chain dropping, even though the derailleur seems properly aligned?;What is the perfect length of a chain for a bike?;How do I use a chain breaker to open my bike chain?;What should I use to lubricate a bike chain?;When should I add grease on a bike chain? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8_1;"You live in Germany.;You love thrift-shopping.;You have a sedentary lifestyle.;You work in an office.;You can draw well.;You recently moved places for your work.;You like cooking.;You have a sealion tattoo on your left shoulder.;You eat an apple every day.;You love collecting art.;You can sit the entire day without feeling physical pain.;You sometimes suddenly feel tired.;You love it when it is quiet.;Sometimes you feel awkward when others are around.;You can sleep anywhere.;You don’t mind being on the train.;You like ink paintings.;You often daydream.;You like making up crazy stories for normal events.;You have an expensive couch at home.";How can ADHD be managed?;How to manage multiple tasks at work while having ADHD?;How can a timer help people with ADHD to focus on a single task?;How can a person with ADHD handle distractions while in hyperfocus?;How to stay attentive in meetings while having ADHD?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8_2;"You live in Germany.;You love thrift-shopping.;You have a sedentary lifestyle.;You work in an office.;You can draw well.;You recently moved places for your work.;You like cooking.;You have a sealion tattoo on your left shoulder.;You eat an apple every day.;You love collecting art.;You can sit the entire day without feeling physical pain.;You sometimes suddenly feel tired.;You love it when it is quiet.;Sometimes you feel awkward when others are around.;You can sleep anywhere.;You don’t mind being on the train.;You like ink paintings.;You often daydream.;You like making up crazy stories for normal events.;You have an expensive couch at home.;You were diagnosed with ADHD a few months ago.;You get easily overwhelmed with tasks.;You don't want to interrupt your hyperfocus with a timer.;Your office is pretty quiet.;";How to start tattooing as a hobby?;What equipments are needed to start tattooing?;What different tattoo needle types exist?;Where to buy tattoo needles?;What is REACH compliant in tattoo needles?;What learning resources are available about tattooing?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2_2;"You don’t eat sugar; You want to lose weight; You are 45 years old; You live in Canada; You are a Software Developer; You occasionally experience mild acid reflux and prefer beverages that are gentle on the stomach; You start your day by drinking coffee; You prepare fresh orange juice for your family; You like to try something new here and then; Your grandfather used to have a winery in Great Britain; You can sleep well if you drink a glass of wine in the evening; You love skiing; You once built an old wall clock from scratch; You can play clawhammer banjo; You were born in Great Britain; You regularly visit your family in Scotland; You get grumpy if you don’t get your coffee; You don’t like the taste of tea; You own a cooking machine; Dark chocolate is the exception to your rule.
";Can you give me some wine suggestions?;Can you give me some wine suggestions that tastes like freshly cut grass? ;Which of these wines, the Sauvignon Blanc, the Terruzi & Puthod Terre di Tufi, and the Domaine Pascal Cotat Sancerre La Grande Cote, are best for someone with stomach acid reflux? ;Where is the Oaked Chardonnay wine made in Canada?;What is the Okanagan Valley in British Columbia and is this a good place to spend some free time?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5_2;"You are interested in low-carb food; You think you don’t get enough calcium, and you are worried about it; You prefer foods with more nutrients and protein; You eat jam for breakfast; You like the taste of white bread; You usually eat white rice for your lunch; You like eating cake as a snack with coffee, and you bake cakes every week; Sometimes you drink fresh orange juice in the afternoon; You are a woman; You are 25 years old; You enjoy watching cake decorating competitions on TV shows; You moved into a new apartment last year; Your grandparents owned a farm; You sleep with earplugs; You're allergic to cats; You like decorating my house; You don't eat out very often; You can’t stand the sound of someone slurping soup or water; You collect figurines of cartoon babies.";Is breastfeeding bad for the baby?;Do I need to change my diet during pregnancy?;Do I need to change my diet when breastfeeding?;Can someone run out of milk when they are breastfeeding?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7_1;"You enjoy baking.; You have some basic baking experience.; You like to challenge yourself.; You weigh 76kg.; You live in Vienna.; You enjoy visiting countries with rich culinary cultures.; You live in a 100 square meter house with a garden.; You take public transportation occasionally.; You started taking basic Mandarin courses.; You will travel to Tokyo in October.; You go to the gym twice a week.; You have a child.; You enjoy smoking brisket and ribs on the weekend.; You often eat raw salads.; You avoid frying food at home due to the smell.; You collect rare hot sauces from around the world.; You like Marco Krainer.; You grow herbs in your garden.; You are thinking of taking a short knife skill workshop next Winter.; You like to share food with guests or family.; You like cheesecake.";What are ways for baking bread at home?;What are advantages of baking bread in my own oven at home?;What is a good recipe for baking bread in the oven at home?;I have fatty liver. How does that change which breads are healthy when baking at home in the oven? ;I have some basic tools for baking bread in the oven at home. What else do I need to get for baking bread in the oven?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1_2;"You enjoy apple, kiwi, and watermelon.; You eat dinner late at night.; You have gained weight recently because you stopped exercising for the last 6 months.; You are a software engineer.; You eat out regularly.; You don’t like Apple products.; You spent last summer in Brazil and since then love fresh mangoes and pomegranates.; You enjoy Stephen King’s novels.; You like local pizzeria.; You like a variety of fruits.; You changed jobs 2 years ago.; You are an Android fan, especially the foldables.; You enjoy 3d printing for fun.; You want to stop doom scrolling.; You are a social person.; You are thinking of changing your phone soon.; You want to increase your protein intake.; You are concerned about your CO2 emission.; You spend too much time on your phone.; You are thinking of internet detoxing.; You want to change your lifestyle. ";How to get started to have a healthier and more active lifestyle?;What are some practical steps to have a healthier and more active lifestyle?;What are some practical steps to have a have better psychological health?;Is stomach acid reflux related to psychological health?;How to lose weight?;What are some spices that can help boost metabolism?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5_1;"You are interested in low-carb food.;You think you don’t get enough calcium, and you are worried about it.;You prefer foods with more nutrients and protein.;You eat jam for breakfast.;You like the taste of white bread.;You usually eat white rice for lunch.;You like eating cake as a snack with coffee, and you bake cakes every week.;Sometimes you drink fresh orange juice in the afternoon.;You are a woman.;You are 25 years old.;You enjoy watching cake decorating competitions on TV shows.;You moved into a new apartment last year.;Your grandparents owned a farm.;You sleep with earplugs.;You're allergic to cats.;You like decorating your house.;You don't eat out very often.;You can’t stand the sound of someone slurping soup or water.;You collect figurines of cartoon babies.";How can I have more healthy breakfasts?;How can I have more healthy lunchs as opposed to breakfast?;How much calcium should I consume daily as a 25 year-old woman?;How much calories do brown rice, quinoa, cauliflower rice, and black rice have?;How healthy are stevia, maple syrup, molasses, and honey compared to sugar? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;