"id","rubrik"
1-1-r1,"What food is good for stomach acid reflux and some that I should avoid?"
1-1-r3,"What are some good habits to help someone with stomach acid reflux?"
1-1-r4,"Why does acid reflux happen? Does acid reflux have a reason?"
1-1-r5,"Are there any ODC medications for stomach acid reflux?"
1-1-r6,"How do medication for stomach acid reflux work?"
1-2-r2,"What are some practical steps to have a healthier and more active lifestyle?"
1-2-r3,"What are some practical steps to have a have better psychological health?"
1-2-r4,"Is stomach acid reflux related to psychological health?"
1-2-r6,"What are some spices that can help boost metabolism?"
2-1-r2,"What are the different types of coffee beans?"
2-1-r3,"Can you compare the caffeine content and shape of Excelsa and Liberica coffee beans?"
2-1-r4,"Which one of Liberica and Excelsa is better for me?"
2-1-r5,"What is the impact of roasting on coffee taste?"
2-2-r2,"Can you give me some wine suggestions that tastes like freshly cut grass? "
2-2-r3,"Which of these wines, the Sauvignon Blanc, the Terruzi & Puthod Terre di Tufi, and the Domaine Pascal Cotat Sancerre La Grande Cote, are best for someone with stomach acid reflux?"
2-2-r5,"What is the Okanagan Valley in British Columbia and is this a good place to spend some free time?"
3-1-r2,"I have pain in the front of the finger, especially when crimping, but I cannot see any bowstring. What injury could this be?"
3-1-r3,"How can I cure the pain in the front of my finger considering I hurt myself while climbing?"
3-1-r4,"What are the risk if I continue climbing and donâ€™t rest with my injury at the front of my finger?"
3-1-r6,"How should I tape my fingers after my climbing injury at the front of my finger?"
3-2-r1,"What are some ways to help someone that is feeling blue for a while?"
3-2-r3,"Is it true that cold water is not good for recovery, and I thus should not do swimming while recovering from my finger injury?"
3-2-r4,"Do you know of any water spot near London to do swimming?"
3-2-r5,"What budget should I consider for swimming in a swimming pool near London?"
4-1-r2,"What does a typical week of workout look like when preparing for a 10 km run?"
4-1-r4,"How can I adjust my workout plan for a 5km run?"
4-2-r1,"How to prepare for a trip to New York?"
4-2-r2,"Can you give me some information about the Metropolitan Mueseum of Art and other ones in New York City?"
4-2-r3,"What is so special about New York's subway system?"
4-2-r4,"What are some places to visit in New York City that are closer to the Spanish culture?"
4-2-r5,"Can you recommend some places in New York City where I can train for my 10km race?"
5-1-r2,"How can I have more healthy lunchs as opposed to breakfast?"
5-1-r3,"How much calcium should I consume daily as a 25 year-old woman?"
5-1-r4,"How much calories do brown rice, quinoa, cauliflower rice, and black rice have?"
5-1-r5,"How healthy are stevia, maple syrup, molasses, and honey compared to sugar?"
5-2-r1,"Is breastfeeding bad for the baby?"
5-2-r3,"Do I need to change my diet when breastfeeding?"
5-2-r4,"Can someone run out of milk when they are breastfeeding?"
6-1-r2,"Are CO2 lasers and microneedling good for me?"
6-1-r3,"How does CO2 laser treatment work?"
6-1-r5,"What are the side effects of CO2 laser, microneedling, chemical peeling, and microdermabrasion?"
6-2-r2,"What ingredients in the shampoo i should look out for?"
6-2-r3,"What shampoos exist for an oily scalp and hair?"
6-2-r4,"Tell me more about OUAI and Head and Shoulders brands for shampoo for oily scalp and hair."
6-2-r5,"What does Head and Shoulders, OUAI and La Roche-Posay shampoos cost?"
7-1-r2,"What are advantages of baking bread in my own oven at home?"
7-1-r4,"I have fatty liver. How does that change which breads are healthy when baking at home in the oven?"
7-1-r5,"I have some basic tools for baking bread in the oven at home. What else do I need to get for baking bread in the oven?"
8-1-r2,"How to manage multiple tasks at work while having ADHD?"
8-1-r3,"How can a timer help people with ADHD to focus on a single task?"
8-1-r4,"How can a person with ADHD handle distractions while in hyperfocus?"
8-1-r5,"How to stay attentive in meetings while having ADHD?"
8-2-r2,"What equipments are needed to start tattooing?"
8-2-r3,"What different tattoo needle types exist?"
8-2-r4,"Where to buy tattoo needles?"
8-2-r5,"What is REACH compliant in tattoo needles?"
9-1-r1,"What are the most important parts to inspect and upgrade first on a second-hand bike?"
9-1-r3,"Considering my history of back pain, are there any important features to consider regarding bicycle seats? "
9-1-r6,"Are clipless pedals worth considering on a mountain bike?"
9-2-r1,"Why does my bike chain keep derailing?"
9-2-r2,"Could the chain itself be the cause of my chain dropping, even though the derailleur seems properly aligned?"
9-2-r3,"What is the perfect length of a chain for a bike?"
9-2-r4,"How do I use a chain breaker to open my bike chain?"
9-2-r5,"What should I use to lubricate a bike chain?"
